Time resolution is 1 ps
t=135000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=0
t=145000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=1
t=155000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=1
t=165000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=1
t=175000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=1 | dram_req_r=1 dram_req_w=0 dram_rdy=1 dram_busy=0
t=185000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=3 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=1
t=195000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=1 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=1
t=205000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=1
t=215000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=1 | dram_req_r=0 dram_req_w=0 dram_rdy=1 dram_busy=0
t=225000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=1 | D_MST3: ARVALID=0 ARREADY=1 RVALID=1 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=235000 core1.state=3 cpu_r=1 cpu_w=0 cpu_rdy=1 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
  [ OK ] core1 initial read of A (DRAM reset value): 0x0000000000000000
t=245000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=255000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=265000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=275000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=285000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=295000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=305000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=1 s_ARREADY=1 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=315000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=325000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=1 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=335000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=345000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=355000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=365000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=375000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
